ENST00000409720,0.4754
ENST00000520526,0.3864
ENST00000572944,0.3611
ENST00000400962,0.5063
ENST00000573650,0.4547
ENST00000564026,0.5769
ENST00000371260,0.3626
ENST00000296370,0.5278
ENST00000587308,0.519
ENST00000617545,0.6407
ENST00000404205,0.5687
ENST00000373367,0.4015
ENST00000587372,0.5352
ENST00000576655,0.564
ENST00000311565,0.5896
ENST00000494687,0.5239
ENST00000264613,0.3914
ENST00000323180,0.483
ENST00000396182,0.4988
ENST00000582330,0.6021
ENST00000480013,0.4119
ENST00000521422,0.3986
ENST00000503643,0.3775
ENST00000242275,0.4442
ENST00000394906,0.5813
ENST00000590341,0.5245
ENST00000369720,0.4232
ENST00000472382,0.4811
ENST00000368719,0.5985
ENST00000302174,0.4703
ENST00000342743,0.4155
ENST00000488156,0.5137
ENST00000510663,0.4169
ENST00000409951,0.4992
ENST00000337354,0.54
ENST00000423795,0.4171
ENST00000341998,0.4122
ENST00000512201,0.4727
ENST00000428692,0.4843
ENST00000392322,0.4676
ENST00000590204,0.6055
ENST00000430013,0.628
ENST00000522727,0.53
ENST00000535829,0.4964
ENST00000511297,0.3881
ENST00000554067,0.4212
ENST00000533034,0.4387
ENST00000491013,0.5669
ENST00000333527,0.5698
ENST00000572576,0.4456
ENST00000507612,0.5
ENST00000371001,0.3378
ENST00000614239,0.5358
ENST00000483733,0.4303
ENST00000580018,0.4812
ENST00000617695,0.4654
ENST00000619833,0.4902
ENST00000610977,0.6516
ENST00000442819,0.431
ENST00000507591,0.3302
ENST00000420874,0.6043
ENST00000611561,0.5469
ENST00000535406,0.532
ENST00000435381,0.3522
ENST00000354719,0.3734
ENST00000578576,0.58
ENST00000337432,0.4222
ENST00000394627,0.4296
ENST00000314594,0.4271
ENST00000622774,0.5038
ENST00000440447,0.641
ENST00000562824,0.6315
ENST00000428563,0.4939
ENST00000547651,0.5834
ENST00000474994,0.5633
ENST00000353689,0.4483
ENST00000360265,0.5077
ENST00000414092,0.594
ENST00000492909,0.5541
ENST00000493661,0.4059
ENST00000361756,0.5341
ENST00000434794,0.4758
ENST00000268281,0.663
ENST00000565426,0.6035
ENST00000611479,0.478
ENST00000531568,0.4174
ENST00000413476,0.469
ENST00000380610,0.6363
ENST00000372648,0.5791
ENST00000590771,0.6274
ENST00000342741,0.6006
ENST00000472557,0.4918
ENST00000239878,0.3493
ENST00000420660,0.5923
ENST00000449879,0.6328
ENST00000442047,0.5886
ENST00000521072,0.4874
ENST00000397763,0.6504
ENST00000520884,0.462
ENST00000554167,0.4104
ENST00000530055,0.5385
ENST00000566726,0.6126
ENST00000418019,0.4345
ENST00000356562,0.433
ENST00000511336,0.4708
ENST00000424848,0.5816
ENST00000527163,0.5714
ENST00000306121,0.4112
ENST00000423718,0.4809
ENST00000617445,0.4395
ENST00000252229,0.5016
ENST00000433589,0.5882
ENST00000475456,0.4819
ENST00000354924,0.383
ENST00000512501,0.6321
ENST00000595068,0.6253
ENST00000592139,0.684
ENST00000525288,0.4424
ENST00000423422,0.6
ENST00000372224,0.5012
ENST00000377808,0.4728
ENST00000298681,0.5069
ENST00000359782,0.4692
ENST00000528338,0.3723
ENST00000546627,0.5445
ENST00000349792,0.4723
ENST00000395863,0.5639
ENST00000335195,0.6097
ENST00000544175,0.5373
ENST00000528494,0.5334
ENST00000423014,0.5885
ENST00000304081,0.4686
ENST00000489441,0.433
ENST00000399992,0.4527
ENST00000584633,0.5073
ENST00000596011,0.5518
ENST00000623893,0.5451
ENST00000367554,0.4483
ENST00000370353,0.4914
ENST00000535216,0.6935
ENST00000565576,0.5523
ENST00000586451,0.5863
ENST00000586382,0.456
ENST00000395432,0.4221
ENST00000216840,0.6058
ENST00000483405,0.661
ENST00000620861,0.585
ENST00000392334,0.5862
ENST00000466053,0.5889
ENST00000299697,0.5104
ENST00000284292,0.647
ENST00000578764,0.5768
ENST00000283936,0.3929
ENST00000448296,0.5157
ENST00000359860,0.4811
ENST00000458612,0.5486
ENST00000431201,0.637
ENST00000414889,0.4818
ENST00000316911,0.633
ENST00000447103,0.6816
ENST00000479191,0.4878
ENST00000514100,0.4423
ENST00000584596,0.4833
ENST00000454147,0.4517
ENST00000563628,0.4141
ENST00000519808,0.5057
ENST00000621164,0.5623
ENST00000610897,0.5087
ENST00000314674,0.4163
ENST00000340611,0.6631
ENST00000429075,0.4644
ENST00000525162,0.3723
ENST00000253451,0.5761
ENST00000506877,0.6688
ENST00000405807,0.4502
ENST00000398055,0.4353
ENST00000359373,0.6034
ENST00000344517,0.4527
ENST00000429161,0.5047
ENST00000548478,0.5599
ENST00000396257,0.4966
ENST00000371092,0.3793
ENST00000256544,0.3445
ENST00000413146,0.6014
ENST00000493075,0.5053
ENST00000505440,0.5854
ENST00000317560,0.4452
ENST00000407537,0.6054
ENST00000420600,0.4555
ENST00000557153,0.539
ENST00000217961,0.4306
ENST00000446706,0.4514
ENST00000543380,0.4236
ENST00000311308,0.6738
ENST00000618137,0.6071
ENST00000618554,0.5782
ENST00000484980,0.5486
ENST00000360295,0.5968
ENST00000427372,0.435
ENST00000591492,0.4453
ENST00000566095,0.5188
ENST00000420162,0.5666
ENST00000575316,0.568
ENST00000585994,0.5043
ENST00000433821,0.5865
ENST00000409412,0.5782
ENST00000510873,0.5575
ENST00000514898,0.6846
ENST00000451036,0.5849
ENST00000393551,0.6558
ENST00000368251,0.4886
ENST00000286639,0.602
ENST00000617253,0.5623
ENST00000394263,0.6251
ENST00000577315,0.5091
ENST00000414170,0.497
ENST00000523685,0.438
ENST00000616962,0.7022
ENST00000487915,0.4858
ENST00000372092,0.5461
ENST00000537485,0.6202
ENST00000456866,0.4526
ENST00000511797,0.5142
ENST00000630492,0.5682
ENST00000423022,0.4263
ENST00000510448,0.4397
ENST00000371867,0.6003
ENST00000305089,0.4811
ENST00000326004,0.4495
ENST00000392316,0.3999
ENST00000435124,0.5762
ENST00000445912,0.6392
ENST00000436881,0.7267
ENST00000540746,0.4484
ENST00000310496,0.6592
ENST00000514808,0.5404
ENST00000274432,0.4027
ENST00000587745,0.5957
ENST00000258180,0.5666
ENST00000503988,0.6037
ENST00000492460,0.4079
ENST00000376456,0.552
ENST00000418646,0.3858
ENST00000335017,0.6069
ENST00000547710,0.711
ENST00000316649,0.4399
ENST00000590150,0.6774
ENST00000374796,0.4779
ENST00000553972,0.5119
ENST00000523250,0.6041
ENST00000492469,0.6268
ENST00000542167,0.5542
ENST00000621162,0.4577
ENST00000406733,0.5779
ENST00000310112,0.6457
ENST00000419612,0.5016
ENST00000505900,0.4307
ENST00000372680,0.5034
ENST00000465610,0.6747
ENST00000543579,0.4555
ENST00000455862,0.5773
ENST00000554943,0.4135
ENST00000303910,0.5954
ENST00000370745,0.4439
ENST00000592437,0.4428
ENST00000446090,0.4899
ENST00000543831,0.479
ENST00000464139,0.5242
ENST00000421199,0.4755
ENST00000432115,0.5282
ENST00000344579,0.5391
ENST00000374169,0.4585
ENST00000238633,0.4736
ENST00000290374,0.4825
ENST00000530047,0.6414
ENST00000488580,0.4743
ENST00000587934,0.6121
ENST00000566426,0.6572
ENST00000388718,0.473
ENST00000422803,0.3679
ENST00000436655,0.5025
ENST00000427570,0.4921
ENST00000523868,0.5034
ENST00000520213,0.4728
ENST00000335647,0.4074
ENST00000430176,0.4284
ENST00000334602,0.6629
ENST00000415061,0.6216
ENST00000549129,0.5411
ENST00000292174,0.5823
ENST00000625371,0.5625
ENST00000569878,0.412
